weapon_assault,weapon_smg,weapon_lmg,weapon_sniper,weapon_shotgun,weapon_riot,weapon_machine_pistol,weapon_pistol,weapon_projectile
none,none,none,none,none,,,,
classic,classic,classic,classic,classic,,,,
snow,snow,snow,snow,snow,,,,
multi,multi,multi,multi,multi,,,,
d_urban,d_urban,d_urban,d_urban,d_urban,,,,
hex,hex,hex,hex,hex,,,,
choco,choco,choco,choco,choco,,,,
marine,marine,marine,marine,marine,,,,
snake,snake,snake,snake,snake,,,,
winter,winter,winter,winter,winter,,,,
blue,blue,blue,blue,blue,,,,
red,red,red,red,red,,,,
autumn,autumn,autumn,autumn,autumn,,,,
gold,gold,gold,gold,gold,,,,
