weapon_assault,weapon_smg,weapon_lmg,weapon_sniper,weapon_shotgun,weapon_riot,weapon_machine_pistol,weapon_pistol,weapon_projectile
none,none,none,none,none,none,none,none,none
iw5_m4,iw5_mp7,iw5_m60,iw5_barrett,iw5_ksg,riotshield,iw5_g18,iw5_44magnum,m320
iw5_ak47,iw5_m9,iw5_mk46,iw5_rsass,iw5_1887,,iw5_fmg9,iw5_usp45,rpg
iw5_m16,iw5_p90,iw5_pecheneg,iw5_dragunov,iw5_striker,,iw5_mp9,iw5_deserteagle,iw5_smaw
iw5_fad,iw5_pp90m1,iw5_sa80,iw5_msr,iw5_aa12,,iw5_skorpion,iw5_mp412,stinger
iw5_acr,iw5_ump45,iw5_mg36,iw5_l96a1,iw5_usas12,,,iw5_p99,xm25
iw5_type95,iw5_mp5,,iw5_as50,iw5_spas12,,,iw5_fnfiveseven,javelin
iw5_mk14,iw5_ak74u,,iw5_cheytac,,,,,
iw5_scar,,,,,,,,
iw5_g36c,,,,,,,,
iw5_cm901,,,,,,,,
